"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"901","""How can I request time off?""","""Performance Reviews""","""To request time off, please submit a leave request form through the employee portal.""","""Remote work,Eligibility,Manager consultation""","""How do I report harassment?""","""2021-12-12""","""TRAIN"""
"902","""What is the procedure for performance reviews?""","""Employment Verification""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Workplace harassment,HR reporting,Email report""","""How do I get IT help?""","""2020-05-01""","""TEST"""
"903","""How do I access my pay stubs?""","""Workplace Harassment""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2023-02-25""","""TEST"""
"904","""What is the company's leave policy?""","""Pay Stubs""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Update personal information,Employee portal,Profile section""","""How do I change my address in the system?""","""2023-11-17""","""TRAIN"""
"905","""How do I access my pay stubs?""","""Leave Request""","""To request time off, please submit a leave request form through the employee portal.""","""IT support,Helpdesk,Contact IT""","""What is annual leave?""","""2023-06-25""","""TEST"""
"906","""How do I request a copy of my employment verification?""","""Personal Information""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""When are performance reviews held?""","""2023-09-15""","""TRAIN"""
"907","""How can I update my personal information?""","""Employment Verification""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Employment verification,HR request,Employment letter""","""What is annual leave?""","""2020-06-29""","""VALIDATE"""
"908","""What is the company's policy on remote work?""","""Leave Policy""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""What are the employee perks?""","""2021-02-02""","""VALIDATE"""
"909","""What is the company's leave policy?""","""Pay Stubs""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Workplace harassment,HR reporting,Email report""","""What is annual leave?""","""2020-10-30""","""TEST"""
"910","""How can I request time off?""","""Remote Work""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Request time off,Leave request form,Employee portal""","""What are the employee perks?""","""2021-09-30""","""TEST"""
"911","""Who should I contact for IT support?""","""Employment Verification""","""To request an employment verification letter, please contact HR with your request.""","""Performance reviews,Annual review,HR procedures""","""What is annual leave?""","""2020-02-12""","""TRAIN"""
"912","""What is the company's leave policy?""","""Employment Verification""","""You can access your pay stubs through the payroll section of the employee portal.""","""Update personal information,Employee portal,Profile section""","""Where can I find my pay stubs online?""","""2021-10-03""","""TRAIN"""
"913","""How do I access my pay stubs?""","""IT Support""","""To request an employment verification letter, please contact HR with your request.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""Where can I find my pay stubs online?""","""2021-05-25""","""VALIDATE"""
"914","""What is the company's leave policy?""","""Pay Stubs""","""You can access your pay stubs through the payroll section of the employee portal.""","""Performance reviews,Annual review,HR procedures""","""Where can I find my pay stubs online?""","""2023-07-04""","""TRAIN"""
"915","""How can I request time off?""","""IT Support""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""When are performance reviews held?""","""2021-09-21""","""VALIDATE"""
"916","""What benefits does the company offer?""","""Employee Benefits""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Employee benefits,Health insurance,Retirement plans""","""Can I work from home?""","""2022-08-28""","""VALIDATE"""
"917","""How do I request a copy of my employment verification?""","""Leave Request""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Request time off,Leave request form,Employee portal""","""How do I change my address in the system?""","""2020-10-20""","""TRAIN"""
"918","""How can I request time off?""","""Workplace Harassment""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""How do I report harassment?""","""2024-05-13""","""TEST"""
"919","""How do I request a copy of my employment verification?""","""Employee Benefits""","""To request an employment verification letter, please contact HR with your request.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I submit a leave request?""","""2020-04-26""","""VALIDATE"""
